type	pro_type	time	N	value	sd	se	ci	ID	parameter	ID_type	value	sd	se	ci
PAR	NATL1A	0	3	2.14E+06	9.76E+05	5.63E+05	2.42E+06	NATL1A_PAR_0	Bac	NATL1A_PAR	6.290090727	0.245781562	0.141902051	0.610555246
PAR	NATL1A	3	3	3.04E+06	1.51E+06	8.70E+05	3.74E+06	NATL1A_PAR_3	Bac	NATL1A_PAR	6.438070401	0.252586429	0.145830843	0.627459474
PAR	NATL1A	6	3	4.10E+06	9.36E+06	5.41E+06	2.33E+07	NATL1A_PAR_6	Bac	NATL1A_PAR	6.903369327	0.298757017	0.211253113	2.684225299
PAR	NATL1A	9	3	6.90E+06	8.90E+06	5.14E+06	2.21E+07	NATL1A_PAR_9	Bac	NATL1A_PAR	7.065286898	0.123691535	0.087463123	1.111324348
PAR	NATL1A	12	3	7.82E+07	2.02E+07	1.17E+07	5.02E+07	NATL1A_PAR_12	Bac	NATL1A_PAR	7.881894257	0.12373093	0.071436086	0.30736467
PAR	NATL1A	14	3	2.75E+07	3.93E+07	2.27E+07	9.77E+07	NATL1A_PAR_14	Bac	NATL1A_PAR	7.69688879	0.063723054	0.045059003	0.572528924
PAR	NATL1A	18	3	-1.01E+08	2.86E+06	1.65E+06	7.11E+06	NATL1A_PAR_18	Bac	NATL1A_PAR				
PAR	NATL1A	21	3	1.50E+07	1.82E+07	1.05E+07	4.52E+07	NATL1A_PAR_21	Bac	NATL1A_PAR	7.323508473	0.297174918	0.2101344	2.670010702
PAR	NATL1A	24	3	-6.70E+07	2.26E+07	1.31E+07	5.62E+07	NATL1A_PAR_24	Bac	NATL1A_PAR				
PAR	NATL1A	30	3	1.13E+08	6.20E+07	3.58E+07	1.54E+08	NATL1A_PAR_30	Bac	NATL1A_PAR	8.012521319	0.228411575	0.131873484	0.567405807
PAR	NATL1A	33	3	9.57E+06	1.77E+07	1.02E+07	4.40E+07	NATL1A_PAR_33	Bac	NATL1A_PAR	7.243126301	0.244588656	0.172950297	2.197541883
PAR	NATL1A	36	3	1.01E+08	4.80E+06	2.77E+06	1.19E+07	NATL1A_PAR_36	Bac	NATL1A_PAR	8.005391872	0.020571557	0.011876994	0.051102581
